open_time,open,high,low,close,volume,super_trend,volume_sma,trend_direction,ema_9,ema_21,ema_50,rsi,cci,macd,macd_signal,stoch_rsi,momentum,rsi_14,rsi_28,macd_line,macd_histogram,macd_crossover,volatility_band_width,bollinger_upper,bollinger_middle,bollinger_lower,bollinger_width,bollinger_pct_b,atr_14,atr_14_percent,atr_20,atr_20_percent,atr,atr_percent,volume,quote_asset_volume,taker_buy_base_volume,taker_buy_quote_volume,volume_sma,market_regime,regime_duration,regime_strength,adx,di_pos,di_neg
1747598100000,1.2529,1.2585,1.2491,1.2555,505054.7,,,,1.2676666091967719,,,,,,,,,25.213654868478827,,,,0,,,,,,,0.011809454354159374,0.9406176307574173,0.0,0.0,0.011809454354159374,0.9406176307574173,505054.7,633931.78232,242360.7,304325.64565,,,0,0,0.0,0.0,0.0
1747598400000,1.2555,1.2589,1.2315,1.2467,2807902.6,,,,1.2634732873574175,,,,,,,,,21.603899069995435,,,,0,,,,,,,0.012923064757433695,1.0365817564316753,0.012529999999999963,1.0050533408197613,0.012923064757433695,1.0365817564316753,2807902.6,3491284.28035,1281732.7,1594233.97627,,,0,0,0.0,7.422488226059791,39.54572213500786
1747598700000,1.2467,1.2554,1.2341,1.2531,1290559.2,,,,1.261398629885934,1.273488283010149,,,,,,,,29.508185897366218,,,,0,,1.3078164733801085,1.276947619047619,1.2460787647151295,4.834787875717617,0.11372685246502291,0.013521417274759867,1.0790373693049131,0.012968499999999971,1.0349134147314636,0.013521417274759867,1.0790373693049131,1290559.2,1609899.01203,595421.8,744101.27266,,,0,0,0.0,6.750316244744684,35.96450710435287
1747599000000,1.2532,1.254,1.2423,1.2452,635883.7,,,,1.2581589039087473,1.2709166209183174,,,,,,,,26.02065365916326,,,,0,,1.3059521031972472,1.2742761904761903,1.2426002777551335,4.971592965135718,0.041036264175876594,0.01339131604084845,1.0754349534892749,0.012905074999999978,1.0363857211692882,0.01339131604084845,1.0754349534892749,635883.7,792971.04618,288621.2,359955.87014,,,0,0,0.0,6.41256828597628,34.1650449129239
1747599300000,1.245,1.2516,1.2424,1.249,549480.6,,,,1.256327123126998,1.268924200834834,,,,,,,,30.288616324702275,,,,0,,1.3045754332578976,1.2722190476190476,1.2398626619801976,5.086606068256068,0.14119837304744298,0.013091936323644996,1.0481934606601278,0.012719821249999985,1.0184004203362678,0.013091936323644996,1.0481934606601278,549480.6,685605.61893,273625.5,341511.29486,,,0,0,0.0,6.156119184302877,32.798728846440575
1747599600000,1.2491,1.2517,1.2424,1.243,626617.5,,,,1.2536616985015985,1.2665674553043946,,,,,,,,27.582785832820463,,,,0,,1.3030739609021624,1.2698380952380954,1.2366022295740284,5.234661928745373,0.09624798840261034,0.012821083729098931,1.0314628905147973,0.01254883018749999,1.0095599507240538,0.012821083729098931,1.0314628905147973,626617.5,781411.47264,307639.5,383687.84955,,,0,0,0.0,5.947563776294667,31.452428171849746
1747599900000,1.243,1.2518,1.2406,1.2471,471396.5,,,,1.2523493588012788,1.2647976866403587,,,,,,,,32.0499143858102,,,,0,,1.3013677620087094,1.2678714285714285,1.2343750951341477,5.283869118341564,0.1899447426041236,0.0127052920341633,1.018786948453476,0.012481388678124995,1.0008330268723433,0.0127052920341633,1.018786948453476,471396.5,587544.56212,223593.9,278784.18083,,,0,0,0.0,5.651744656058414,30.687410100368822
1747600200000,1.2473,1.2484,1.2374,1.2434,666136.3,,,,1.250559487041023,1.262852442400326,,,,,,,,30.237194571159606,,-0.012754516931679394,,0,,1.3007837261726949,1.266157142857143,1.231530559541591,5.4695554198612975,0.17139202488219565,0.012583485460294487,1.012022314644884,0.012407319244218739,0.9978542097650586,0.012583485460294487,1.012022314644884,666136.3,827298.23589,296137.6,367798.78248,,,0,0,0.0,5.3737947970056705,30.60889501209755
1747600500000,1.2438,1.2572,1.2424,1.254,547078.9,,,,1.2512475896328186,1.2620476749093872,,,,,,,,40.60206707783213,,-0.011806806753454913,,0,,1.2992291203669009,1.2648809523809523,1.2305327843950038,5.431051502719391,0.34160796602887805,0.01274180792741632,1.016093136157601,0.012526953282007808,0.9989595918666513,0.01274180792741632,1.016093136157601,547078.9,684155.78678,312753.2,391076.05617,,,0,0,0.0,8.914992399210805,28.6048122981389
1747600800000,1.2539,1.2609,1.2486,1.2589,511403.8,,,,1.2527780717062549,1.2617615226448975,,,,,,,,44.692760286585795,40.07357215146473,-0.010538865083866478,,0,,1.297290522186116,1.2637666666666667,1.2302428111472175,5.305386888842759,0.4274148723161728,0.012710250218315152,1.009631441601013,0.012515605617907415,0.994169959322219,0.012710250218315152,1.009631441601013,511403.8,641942.12587,300385.3,377197.92606,,,0,0,0.0,10.068054029901386,27.046528686784537
1747601100000,1.259,1.2689,1.2579,1.2638,708391.4,,,,1.254982457365004,1.2619468387680886,,,,,,,,48.51150363186596,42.94850836908447,-0.009034479273404283,,0,,1.2951729176840439,1.2628285714285714,1.230484225173099,5.122523672216727,0.5150169764408867,0.012588089488435492,0.9960507586988046,0.01243982533701204,0.9843191436154485,0.012588089488435492,0.9960507586988046,708391.4,894433.80258,416830.1,526461.62779,,,0,0,0.0,13.14173925999548,25.719788304792313
1747601400000,1.2637,1.2637,1.2544,1.2547,627501.4,,,,1.2549259658920031,1.2612880352437168,,,,,,,,42.625292276373514,39.31590730879482,-0.008478798319071723,,0,,1.2915975249029106,1.2612190476190475,1.2308405703351843,4.817319773470304,0.3927028573859688,0.012360368810690105,0.9851254332262777,0.01228783407016144,0.9793443907038688,0.012360368810690105,0.9851254332262777,627501.4,789796.56267,189585.7,238702.83625,,,0,0,0.0,12.583236250537913,26.20912579065816
1747601700000,1.2548,1.2644,1.2543,1.2609,335968.4,,,,1.2561207727136026,1.2612527593124698,,,,,,,,47.315667417952355,42.73791768132444,-0.0074522243711578895,,0,,1.2882442477711324,1.260009523809524,1.2317747998479154,4.4816683410841875,0.5157691676335635,0.012198913895640812,0.9674767146990889,0.012178442366653369,0.9658531498654428,0.012198913895640812,0.9674767146990889,335968.4,423211.26679,194960.2,245678.56057,,,0,0,0.0,12.322544268752251,25.000376255418427
1747602000000,1.261,1.2828,1.2608,1.2812,869713.8,,,,1.261136618170882,1.263066144829518,,,,,,,,59.10409644253516,51.94004848940455,-0.004943629689787565,,0,,1.288186724563622,1.2599952380952382,1.2318037516268543,4.474856033742087,0.8760844950219705,0.012898991474523613,1.0067898434689053,0.012669520248320701,0.9888791951545974,0.012898991474523613,1.0067898434689053,869713.8,1109324.41295,528158.1,673485.52248,,,0,0,0.0,19.178736555136496,22.596811443449425
