time,balance
2025-05-20 10:50:00,971.5578418491356
2025-05-20 10:55:00,971.4121081728582
2025-05-20 11:00:00,971.2663963566323
2025-05-20 11:05:00,971.1207063971788
2025-05-20 11:10:00,970.9750382912192
2025-05-20 11:15:00,970.8293920354755
2025-05-20 11:20:00,970.6837676266701
2025-05-20 11:25:00,969.0821394100861
2025-05-20 12:25:00,968.9367770891746
2025-05-20 12:30:00,968.7914365726112
2025-05-20 12:35:00,968.6461178571253
2025-05-20 12:40:00,968.5008209394467
2025-05-20 12:45:00,968.3555458163058
2025-05-20 12:50:00,966.7577591657089
2025-05-20 12:55:00,966.6127455018341
2025-05-20 13:00:00,965.017834471756
2025-05-20 13:10:00,964.8730817965853
2025-05-20 13:15:00,964.7283508343158
2025-05-20 13:35:00,964.5836415816907
