config_id,time,exit_time,direction,entry_price,exit_price,outcome,entry_bar,exit_bar,bars_held,highest_price_reached,lowest_price_reached,sl,tp,rr_ratio,risk_distance_pct,reward_distance_pct,position_size,position_value,leverage_used,risk_amount,gross_pnl,net_pnl,price_change_pct,total_commission,slippage_cost,gain_pct,gain_usd,commission,signal_strength,signal_passed_filter,atr,volatility_regime
default,2025-05-23 08:10:00,2025-05-23 09:05:00,SHORT,1.3611,1.3792885718848775,SL,1317,1328,11,1.3817,1.356,1.3792885718848775,1.3474585710863418,0.75,1.336314149208548,1.002235611906411,1165.0212676994638,116.50212676994639,10.0,11.65021267699464,-1.5363045490912282,-1.8260235614670028,-1.318692277716893,0.23146794899080153,0.05825106338497319,-1.318692277716893,-1.8260235614670028,0.23146794899080153,56,True,0.00909428594243877,low
default,2025-05-23 06:10:00,2025-05-23 09:15:00,SHORT,1.36,1.38276575195735,SL,1293,1330,37,1.3888,1.3439,1.38276575195735,1.3429256860319876,0.7500000000000049,1.673952349805137,1.255464262353861,1081.221708676631,108.12217086766309,10.0,10.81221708676631,-1.780115337380257,-2.0486406492120346,-1.6463925234714738,0.21446422639794593,0.05406108543383154,-1.6463925234714738,-2.0486406492120346,0.21446422639794593,57,True,0.011382875978674977,low
default,2025-05-23 06:15:00,2025-05-23 09:15:00,SHORT,1.36,1.3821967696746822,SL,1294,1330,36,1.3888,1.3439,1.3821967696746822,1.3433524227439886,0.7499999999999974,1.6321154172560364,1.224086562942023,1093.410692320268,109.3410692320268,10.0,10.93410692320268,-1.7559139067428142,-2.027510665916138,-1.6059051910464528,0.21692622455731078,0.0546705346160134,-1.6059051910464528,-2.027510665916138,0.21692622455731078,57,True,0.011098384837341055,low
default,2025-05-23 06:25:00,2025-05-23 09:15:00,SHORT,1.3597,1.3824278269133738,SL,1296,1330,34,1.3888,1.3439,1.3824278269133738,1.3426541298149695,0.75,1.6715324640269134,1.253649348020185,1146.39808667619,114.639808667619,10.0,11.4639808667619,-1.8847376174403463,-2.169452401491953,-1.6440516076791978,0.22739487971779765,0.0573199043338095,-1.6440516076791978,-2.169452401491953,0.22739487971779765,57,True,0.011363913456686916,low
default,2025-05-23 06:30:00,2025-05-23 09:15:00,SHORT,1.3599,1.3824186964195615,SL,1297,1330,33,1.3888,1.3439,1.3824186964195615,1.343010977685329,0.7500000000000049,1.6559082593985874,1.2419311945489486,1146.39808667619,114.639808667619,10.0,11.4639808667619,-1.8674075051710846,-2.1521396193349607,-1.6289345968688362,0.2274122098300669,0.0573199043338095,-1.6289345968688362,-2.1521396193349607,0.2274122098300669,57,True,0.011259348209780709,low
default,2025-05-23 06:40:00,2025-05-23 09:15:00,SHORT,1.3596,1.3827635698719687,SL,1299,1330,31,1.3888,1.3439,1.3827635698719687,1.3422273225960233,0.7500000000000024,1.703704756690848,1.2777785675181401,1146.39808667619,114.639808667619,10.0,11.4639808667619,-1.9204058278939131,-2.2050849437350664,-1.6751648927309737,0.22735921150734406,0.0573199043338095,-1.6751648927309737,-2.2050849437350664,0.22735921150734406,57,True,0.011581784935984376,low
default,2025-05-23 07:00:00,2025-05-23 09:15:00,SHORT,1.3632,1.3859049229256897,SL,1303,1330,27,1.3888,1.3519,1.3859049229256897,1.3461713078057327,0.75,1.6655606606286466,1.2491704954714848,1167.262603176684,116.7262603176684,10.0,11.67262603176684,-1.9122962189367747,-2.2021995735120092,-1.6382742098757341,0.23154022441640004,0.0583631301588342,-1.6382742098757341,-2.2021995735120092,0.23154022441640004,57,True,0.01135246146284489,low
default,2025-05-23 07:05:00,2025-05-23 09:15:00,SHORT,1.3657,1.3878117141452833,SL,1304,1330,26,1.3888,1.3519,1.3878117141452833,1.3491162143910373,0.7500000000000026,1.619075503059482,1.2143066272946157,1167.262603176684,116.7262603176684,10.0,11.67262603176684,-1.8597751230121315,-2.1497309986832907,-1.5932791112734934,0.23159274551232467,0.0583631301588342,-1.5932791112734934,-2.1497309986832907,0.23159274551232467,52,True,0.01105585707264169,low
default,2025-05-23 07:15:00,2025-05-23 09:15:00,SHORT,1.3674,1.3882973453599636,SL,1306,1330,24,1.3888,1.3519,1.3882973453599636,1.3517269909800271,0.7500000000000027,1.5282540119909085,1.1461905089931854,1156.2772769644337,115.62772769644337,10.0,11.562772769644338,-1.740486335248235,-2.027815168154095,-1.50524996894994,0.22951496905763852,0.05781386384822169,-1.50524996894994,-2.027815168154095,0.22951496905763852,56,True,0.010448672679981856,low
default,2025-05-23 07:35:00,2025-05-23 09:15:00,SHORT,1.3635,1.3825211963980093,SL,1310,1330,20,1.3888,1.3519,1.3825211963980093,1.349234102701493,0.75,1.395027238577878,1.0462704289334084,1145.776185869372,114.5776185869372,10.0,11.457761858693722,-1.5763978097670515,-1.8612654584246275,-1.3758339798020325,0.2275788393641074,0.05728880929346861,-1.3758339798020325,-1.8612654584246275,0.2275788393641074,59,True,0.009510598199004633,low
