open_time,open,high,low,close,volume,adx,di_pos,di_neg
1747773000000,1.2768,1.2848,1.2744,1.2837,506418.4,25.50577119044008,32.232822981913785,16.385785346731115
1747773300000,1.2836,1.2896,1.277,1.2815,429682.0,26.342469473201586,32.73663273226317,14.977608295936593
1747773600000,1.2817,1.2863,1.2806,1.2846,235919.9,27.119403592908697,31.421103717398157,14.375729707881051
1747773900000,1.2846,1.3008,1.2846,1.2984,704626.3,28.709899751077877,37.7828674775313,12.801228761883928
1747774200000,1.2984,1.3039,1.2908,1.2933,509556.4,30.34121192036099,36.55348907495345,11.686572056405167
1747774500000,1.2934,1.2968,1.2914,1.294,235659.1,31.856001791838167,35.19312711240435,11.25164864689086
1747774800000,1.294,1.306,1.2903,1.3017,583790.0,33.706179503783055,37.63581415734864,10.07738874517298
1747775100000,1.3017,1.3054,1.2949,1.3053,358755.2,35.42420166487474,35.00464890584563,9.372866319237644
1747775400000,1.3052,1.3056,1.2801,1.2815,816772.0,34.84486763818523,29.593613539523655,16.895733875576394
1747775700000,1.2816,1.2905,1.2812,1.2905,335384.4,34.306914613402114,27.899735329674186,15.928656454867635
1747776000000,1.2903,1.2955,1.2861,1.294,218024.1,34.17236728604607,29.383086678814617,14.994447067396887
1747776300000,1.2941,1.2985,1.2872,1.2876,302692.6,34.257158775422155,29.18306339177953,13.936295904330567
1747776600000,1.2874,1.291,1.2797,1.2901,449055.1,33.32331799395724,27.121857516672033,17.639818157257487
1747776900000,1.29,1.2941,1.2844,1.2868,290490.8,32.706937484743726,27.418318040641594,16.55864965515231
1747777200000,1.2862,1.2875,1.2816,1.2849,179867.8,31.76471970528619,26.36001534934208,17.751300165644714
1747777500000,1.2851,1.2869,1.2844,1.2853,110316.7,30.889803195789906,25.903763500272376,17.44405210768147
1747777800000,1.2854,1.2873,1.2839,1.2861,123159.3,30.004588493810267,25.263331259446698,17.376354910254065
1747778100000,1.286,1.2903,1.2812,1.2821,203971.2,29.48660638837077,25.775792794337544,16.22045429959703
1747778400000,1.2822,1.2882,1.2767,1.2774,235408.7,28.32353651457982,23.63597647564473,18.122360886511018
1747778700000,1.2777,1.2778,1.2718,1.2744,295314.4,26.567579942133808,22.582616491722405,20.954273880836023
1747779000000,1.2745,1.279,1.2692,1.2706,227388.3,24.74057823858646,20.94104035837972,21.359629211262078
1747779300000,1.2707,1.272,1.2631,1.2655,482358.3,23.774594307536063,19.551068875783713,24.491203944557757
1747779600000,1.2654,1.2668,1.2566,1.2577,457044.4,23.549655508333817,18.07067632250429,27.461995238323055
1747779900000,1.2576,1.2657,1.2569,1.2646,389289.2,23.340783766217445,16.88293588885296,25.656986861703746
1747780200000,1.2643,1.2655,1.2588,1.2636,232635.4,23.146831434252245,16.019607882553327,24.344987843239462
1747780500000,1.2635,1.2635,1.2543,1.2566,322867.4,23.44264457533546,14.882025805910112,26.052262603337816
1747780800000,1.2567,1.2702,1.2548,1.2688,272722.3,22.638777694308086,18.09944423311462,23.123962568307167
1747781100000,1.2693,1.2712,1.266,1.267,290361.8,21.74239327545239,18.143869192138002,22.215928986725146
1747781400000,1.267,1.2721,1.2653,1.272,482253.3,20.769972272992657,17.886646573984226,21.05175418406618
1747781700000,1.2718,1.2737,1.2693,1.272,243263.0,19.61231492432631,18.537581251795086,20.310111904497894
1747782000000,1.2721,1.2742,1.2682,1.2706,197289.1,18.69981967504375,17.625704922485088,20.21287281149831
1747782300000,1.2702,1.2775,1.2701,1.274,169776.9,17.42133418395418,19.279664030469405,18.973249471732892
1747782600000,1.2741,1.2835,1.2737,1.2828,308553.1,17.10428873334236,22.653339701806466,17.447206891250403
1747782900000,1.2825,1.2923,1.2821,1.2905,575382.1,17.819614399358958,27.91469487208136,16.004354582234388
1747783200000,1.2906,1.2912,1.2805,1.284,471061.6,18.203927773624915,25.529586897463446,15.914547124958148
1747783500000,1.284,1.2876,1.2764,1.2779,234218.2,17.87083613496805,23.286725145014113,17.732462617011162
1747783800000,1.2779,1.2808,1.2735,1.2753,243479.4,17.104482688382923,21.9341275731111,19.009947627634265
1747784100000,1.2752,1.2765,1.2641,1.2672,350202.8,16.630643034917533,19.82739524896059,24.4651466295401
1747784400000,1.2673,1.2687,1.2642,1.2676,261066.0,16.190649070985387,19.1100530203501,23.580013580738004
1747784700000,1.2675,1.2724,1.2619,1.2719,340277.2,15.231273896127894,20.454098771591088,21.614950702087768
1747785000000,1.272,1.272,1.2667,1.2696,147377.1,14.340425519474506,19.567672096503433,20.67821576710022
1747785300000,1.2695,1.2743,1.2688,1.2743,98859.5,13.470689682382325,20.595531220307084,19.72298853832857
1747785600000,1.2744,1.2826,1.2716,1.278,371819.6,13.760060679256867,25.55988144344285,17.93819849210046
1747785900000,1.2778,1.282,1.2723,1.2778,439603.5,14.028762319211799,23.53717661355394,16.51864258337046
